T,P,S,PT,Y,BAI,DBH,H,Hc,SMx,t60,t300,L16,L17
P602,P6,P,SB,2007,0.559706147,4.7,3.2,46.875,55,87,0,2919.41228070175,2327.00657894737
P602,P6,P,SB,2008,0.469325668,4.7,3.2,46.875,55,87,0,2919.41228070175,2327.00657894737
P602,P6,P,SB,2009,0.186764542,4.7,3.2,46.875,55,87,0,2919.41228070175,2327.00657894737
P602,P6,P,SB,2010,0.245832767,4.7,3.2,46.875,55,87,0,2919.41228070175,2327.00657894737
P602,P6,P,SB,2011,0.203813965,4.7,3.2,46.875,55,87,0,2919.41228070175,2327.00657894737
P602,P6,P,SB,2012,0.073089153,4.7,3.2,46.875,55,87,0,2919.41228070175,2327.00657894737
P602,P6,P,SB,2013,0.161349057,4.7,3.2,46.875,55,87,0,2919.41228070175,2327.00657894737
P602,P6,P,SB,2014,0.147340695,4.7,3.2,46.875,55,87,0,2919.41228070175,2327.00657894737
P609,P6,P,SB,1997,8.816314296,30.05,15.2,51.3157894736842,80,0,0,2919.41228070175,2327.00657894737
P609,P6,P,SB,1998,8.72998333,30.05,15.2,51.3157894736842,80,0,0,2919.41228070175,2327.00657894737
P609,P6,P,SB,1999,6.268906769,30.05,15.2,51.3157894736842,80,0,0,2919.41228070175,2327.00657894737
P609,P6,P,SB,2000,11.41092111,30.05,15.2,51.3157894736842,80,0,0,2919.41228070175,2327.00657894737
P609,P6,P,SB,2001,11.2821378,30.05,15.2,51.3157894736842,80,0,0,2919.41228070175,2327.00657894737
P609,P6,P,SB,2002,8.369831148,30.05,15.2,51.3157894736842,80,0,0,2919.41228070175,2327.00657894737
P609,P6,P,SB,2003,12.50265912,30.05,15.2,51.3157894736842,80,0,0,2919.41228070175,2327.00657894737
P609,P6,P,SB,2004,5.022536432,30.05,15.2,51.3157894736842,80,0,0,2919.41228070175,2327.00657894737
P609,P6,P,SB,2005,6.330372029,30.05,15.2,51.3157894736842,80,0,0,2919.41228070175,2327.00657894737
P609,P6,P,SB,2006,8.350029689,30.05,15.2,51.3157894736842,80,0,0,2919.41228070175,2327.00657894737
P609,P6,P,SB,2007,10.32460235,30.05,15.2,51.3157894736842,80,0,0,2919.41228070175,2327.00657894737
P609,P6,P,SB,2008,11.55658734,30.05,15.2,51.3157894736842,80,0,0,2919.41228070175,2327.00657894737
P609,P6,P,SB,2009,9.270918461,30.05,15.2,51.3157894736842,80,0,0,2919.41228070175,2327.00657894737
P609,P6,P,SB,2010,10.32269541,30.05,15.2,51.3157894736842,80,0,0,2919.41228070175,2327.00657894737
